fecha,cliente,producto,cantidad,preciounitario,total
2025-10-13,Diana Romero,"MONITOR 24""",3,22.16,66.48
2025-10-27,Jorge Sánchez,DISCO SSD 500GB,3,696.04,2088.12
2025-10-03,Carlos Pérez,AUDÍFONOS BLUETOOTH,4,836.14,3344.56
2025-10-12,Luis Hernández,LAPTOP,5,111.22,556.1
2025-10-30,Diana Romero,LAPTOP,4,738.73,2954.92
2025-10-20,Luis Hernández,IMPRESORA,1,737.38,737.38
2025-10-07,Pedro Díaz,MOUSE INALÁMBRICO,1,708.31,708.31
2025-10-19,Luis Hernández,MEMORIA USB 32GB,5,1395.61,6978.05
2025-10-09,Carlos Pérez,DISCO SSD 500GB,3,888.21,2664.63
2025-10-16,Diana Romero,DISCO SSD 500GB,4,369.05,1476.2
2025-10-12,Carlos Pérez,TECLADO MECÁNICO,2,141.58,283.16
2025-10-02,María López,MOUSE INALÁMBRICO,4,285.36,1141.44
2025-10-26,Ana Gómez,"MONITOR 24""",3,921.72,2765.16
2025-10-17,Carlos Pérez,TECLADO MECÁNICO,5,868.87,4344.35
2025-10-21,Lucía Torres,MOUSE INALÁMBRICO,4,482.0,1928.0
2025-10-22,Jorge Sánchez,LAPTOP,1,786.41,786.41
2025-10-15,Lucía Torres,LAPTOP,1,1326.51,1326.51
2025-10-04,Lucía Torres,IMPRESORA,1,132.52,132.52
2025-10-07,Lucía Torres,TECLADO MECÁNICO,3,1247.15,3741.45
2025-10-17,Diana Romero,DISCO SSD 500GB,1,1358.66,1358.66
2025-10-24,Pedro Díaz,DISCO SSD 500GB,1,237.72,237.72
2025-10-14,Luis Hernández,TECLADO MECÁNICO,3,717.99,2153.97
2025-10-21,Ana Gómez,MEMORIA USB 32GB,3,155.93,467.79
2025-10-18,Lucía Torres,DISCO SSD 500GB,2,1437.75,2875.5
2025-10-20,Diana Romero,AUDÍFONOS BLUETOOTH,2,775.5,1551.0
2025-10-12,Lucía Torres,LAPTOP,5,1432.18,7160.9
2025-10-23,Lucía Torres,MOUSE INALÁMBRICO,3,599.63,1798.89
2025-10-20,Diana Romero,DISCO SSD 500GB,4,588.41,2353.64
2025-10-24,Pedro Díaz,MOUSE INALÁMBRICO,1,1343.28,1343.28
2025-10-05,Diana Romero,TECLADO MECÁNICO,3,391.8,1175.4
2025-10-22,Carlos Pérez,TECLADO MECÁNICO,4,648.07,2592.28
2025-10-20,Jorge Sánchez,"MONITOR 24""",4,1437.08,5748.32
2025-10-22,Diana Romero,IMPRESORA,5,248.54,1242.7
2025-10-15,Jorge Sánchez,LAPTOP,1,363.09,363.09
2025-10-03,Jorge Sánchez,MEMORIA USB 32GB,2,70.0,140.0
2025-10-14,Luis Hernández,MOUSE INALÁMBRICO,1,246.35,246.35
2025-10-20,Carlos Pérez,MOUSE INALÁMBRICO,1,698.28,698.28
2025-10-02,Carlos Pérez,"MONITOR 24""",2,624.61,1249.22
2025-10-16,Pedro Díaz,"MONITOR 24""",1,421.6,421.6
2025-10-05,Luis Hernández,MOUSE INALÁMBRICO,1,949.52,949.52
